[00:00:00] おはようございます。
[02:09:24] いやでも本日はお忙しい中ありがとうございました
[02:09:27] ありがとうございました
[02:09:29] これでみんな稼いでいきましょう
[02:09:32] じゃねー
[02:09:34] ありがとうございました
[02:09:36] これ本当にオーダー受けて作ったんですよ
[02:09:39] 本当に
[02:09:41] 本当に
[02:09:42] 本当にオーダー受けて作ったら
[02:09:45] 30万から50万ぐらい取れる案件ではあります
[02:09:48] ちなみに
[02:09:50] なのでぜひ皆さん
[02:09:52] 精進してみてください
[02:09:54] はい
[02:09:56] はい
[02:09:58] OKです
[02:10:00] はい 切りまーす じゃあねー
[02:10:01] はーい ごちそうさまでした
