[00:00:00] はいっ 動かそう
[00:00:07] この角度で撮ってもらえると?
[01:09:26] じゃあ10日11日っていう感じで 知っても大丈夫ですか
[01:09:28] おだしょー あオッケーです
[01:09:29] 鈴木 なんかもしかしたら11日秋田 泊まれるかもしれないんでちょっと
[01:09:33] おだしょー 了解でーす
[01:09:34] 鈴木 すいませんありがとうございますじゃあ
[01:09:37] おだしょー 単純に最近はこういうAI人口を
[01:09:40] 増やしたくて
[01:09:41] 鈴木 いやーありがとうございます
[01:09:42] おだしょー はいなんか不況のつもりでやって
[01:09:45] ます
[01:09:46] 鈴木 いやでも大事だと思いますよ
[01:09:48] これにてかこれついてこれないと ヤバいっすもんなんか今デスパートナー
[01:09:53] の中でもなんかチャットGPT
[01:09:55] おだしょー はい
[01:09:56] 鈴木 まあチャットGPTは使えるから誰でも
[01:09:58] おだしょー まあチャット
[01:09:59] 鈴木 けど
[01:10:00] LGTをちょっと使ってるだけだと だいぶ今 原始人化してます
[01:10:06] おだしょー そうっすよね そういう 人がレベル1で レベル1.5ぐらい
[01:10:15] で ノートブックLMとか あとプラウド の
[01:10:17] りなたむ そうですね ちょっとした 複雑なツールとか 応用ツールを
[01:10:22] 使う その次が ちょっとしたシステム をAIで自作する
[01:10:28] AIとAIのシステムをつなぐ AIを 組み込んだシステムを作る
[01:10:38] で AIエージェントを作る AIエージェント を束ねる AIエージェントを動かす
[01:10:46] みたいな感じですね おだしょー そうっすよね ありがとうございます
[01:10:52] ちょっと じゃあ りなたむ ちょっと 明日とかまでに さっき
[01:10:56] のやつは送りますので また 3月 11日とかも何か分かったら教えて
[01:11:03] ください
[01:11:04] りなたむ すみません 本当にありがとうございます 確かに何かあんまり飲んでなかった
[01:11:08] ですね
[01:11:09] おだしょー そうですね どっちか っていうと 少人数での飲みのほう
[01:11:13] が僕は得意なの 得意というか
[01:11:16] りなたむ そうっすね なかなか 僕も そうなんすよ 秋田行っても
[01:11:19] 死ぬほど働かせられられてるんで 全然 ゆっくり秋田でご飯を食べ
[01:11:26] た試しがなくて
[01:11:27] りなたむ そうっすね じゃあ 秋田 感のある ちょっとどっか行きましょう
[01:11:31] よ
[01:11:32] おだしょー 本当ですか ありがとうございます
[01:11:33] りなたむ 何か見つけろって気も すんで
[01:11:34] おだしょー ありがとうございます トッピンパラリンのプとかも1回
[01:11:37] も行ってない
[01:11:38] りなたむ いいですよね あそこは もともと ちょっと知り合いの方
[01:11:43] とかも最初やるとき関わってる と思います
[01:11:46] おだしょー そうなんすね だから 秋田らしさの店 全然行ってなくて
[01:11:52] りなたむ 結構
[01:11:53] おだしょー すみません ありがとうございます
[01:11:54] りなたむ ありがとうございます
[01:11:55] りなたむ ぜひぜひまた引き続き よろしくお願いします
[01:11:56] おだしょー ありがとうございます じゃあ またちょっと来週予定分かったら
[01:11:57] スクリーンするんですけど
[01:11:58] りなたむ はい よろしくお願いします
[01:11:59] おだしょー お願いします
[01:12:00] りなたむ ありがとうございます
[01:12:01] りなたむ 失礼します
