はい、ありがとうございます。
[00:05:52] あ、そうか。もしかしたら予定、予定入ってなかったかな？
[50:23:07] ああ、じゃあ大事だ。
[50:23:66] はい。
[50:24:66] だので僕は1人で僕とがに行かないといけないんで。
[50:27:72] あ、そうなんだ。
[50:28:13] ああ。
[50:29:48] ああ。じゃあ。
[50:30:31] じゃあ、ここに来てくださいよ。
[50:32:27] じゃあ、ここに来てくださいよ。
[50:34:64] じゃあ、11か12か13あたりですかね。
[50:37:37] そうですね。
[50:38:54] うんうんうんうん。
[50:39:74] ま、1週間前だから13でもいいかもしれないですけど、13だと僕結構都合いいです。なんで、例えば。
[50:45:34] うんうんうんうん。
[50:47:70] そうだな。
[50:50:33] 11時とかすか？僕、その授業なんですよ。朝。
[50:53:23] うんうんうんうん。
[50:54:49] 11、11、12は、ないです。午前中。
[50:58:19] うんうんうんうん。
[51:00:81] 11の10時とかだと嬉しいんですけど。
[51:06:06] ああ、最高ですね。
[51:07:34] ああ、いけますよ。
[51:07:54] 大丈夫ですよ。
[51:08:58] はい、いいっすか？
[51:09:47] じゃあ、10時の10時でお願いします。
[51:11:51] はい。
[51:14:04] いいっすね。
[51:14:64] ちょっとこの次がまた違ったAI時代できてる景色変わってるかもしれない。
[51:18:27] あ、でもあれっすね。あの、9、そこだったらもう僕らの未踏の発表も終わってるんで、すっきりしてできるじゃないですか。
[51:22:42] ああ、確かね。
[51:23:44] あ、確かね。
[51:24:19] 発表があるんでね。
[51:25:29] 次のミート、今ミートっていうのに出してて。
[51:28:44] うんうんうんうん。
[51:28:90] なんか一次審査が通って二次審査が、あ、すごい。
[51:33:14] 東京であって。
[51:34:33] あ、そうそうそう。
[51:34:67] それで5月9日東京行くんです。
[51:37:44] ああ、なるほど。
[51:38:13] はい。
[51:38:43] ああ。
[51:38:64] ってことですね。
[51:39:27] ああ、でもあれですね。
[51:40:24] じゃあ、学校で、じゃあ、僕は、なんか、めっちゃできんプレゼントがあるから、言って来るわってのを堂々とやってくってことですね。
[51:45:90] 嫌味でしかないですけど。
[51:47:65] ひどいっすけどね。
[51:48:65] ひどいっすけどね。
[51:52:13] じゃあ、次回11日の10時からで。
[51:54:19] はい。
[51:54:68] じゃ、あとはまたおのおのいろいろ考えつつ。
[51:56:66] わかりました。
[51:57:26] コミュニケーション取りつつ。
[51:59:75] てことで、よろしくお願いします。
[52:00:66] よろしくお願いします。
[52:02:11] お疲れ様でした。
[52:02:92] ありがとうございました。
[52:04:12] ありがとうございました。
[52:05:46] うんうんうんうん。
