[00:20:10] お疲れ様でした。
[55:25:88] うん。
[55:28:50] あと東京ドームなのに、人工芝じゃない。
[55:34:49] ああ。
[55:35:10] またスゲー抜け。
[55:36:09] あと、もっともっともっと忠実な。
[55:40:99] いけるのかな？
[55:42:99] まあ、こういう時は本当は画像とかをね、送りつければいいんだよね。
[55:47:82] よいしょ。
[55:50:49] うん。
[55:51:41] そうか。
[55:51:75] こんな感じでどんどん指示を出していくと。
[55:55:04] 理想のゲームに近づいていってRoblox。
[55:59:36] なんかスコアボードちっちゃい。東京ドーム。
[56:02:69] ああ。
[56:03:70] ほら。
[56:04:47] うん。
[56:05:44] 確かに、確かにあそこ一応東京ドームで書いてますよ、あれ。
[56:08:63] うん。
[56:09:47] 一応東京ドームで書いてますよ。
[56:11:39] なんだかさ、よく見た感じ全然フェンスの模様とか違うし。
[56:17:79] うん。
[56:19:54] 前東京ドーム行ったけど。
[56:22:92] あ、そうそう。
[56:23:25] そういう不満をね、言ってくのがめっちゃ大事で。
[56:26:74] うん。
[56:27:08] 逆に東京ドームのさ、行った時の写真とか持ってねえのか？
[56:30:86] ある。
[56:31:84] あるよな。
[56:32:89] で、そういうのあ、でな、そういうのとかを見ながら、あ、もっと東京ドームこうだよなっていうのを、あの、AIとかに言いながらリアルに近づけてくわけですよ。
[56:43:40] なるほど。
[56:44:48] そういうことね。
[56:47:49] そうするとあら不思議、いつの間にか最強野球ゲームの完成やでって。
[56:55:17] よし。
[56:56:58] うん。
[56:56:90] てか。
[56:57:31] そろそろちょっと僕らは5時から通常の授業が始まっちゃう。今日はちょっと行こうかな。
[57:04:88] うん。
[57:05:27] でまたちょっと近々おそらくパソコンを買ってもらえるはずであろうというところですので。えーと、ちょっとその。なのでパソコン買いましたっていう連絡を一度ちょっとあの、僕の方に買ったら頂くって形でもいいですか？
[57:15:38] はい。
[57:25:64] あ、はい、お願いします。
[57:27:66] はい。
[57:28:13] メールとかで大丈夫ですので。
[57:31:07] はい。
[57:32:38] よろしくお願いします。
[57:33:63] お願いします。
[57:35:86] でぜひなんかそのなぎとをなんかその、あれ、せっかくならその東京ドームとか結構ちゃんと細部にこだわりがありそうだからさ、じっくりなんか、あの、こういうのゲーム作ってみたいなとか、もっとリアルにこういうことしたいなとか、なんか色々こだわりポイントちょっと考えてきて。
[57:43:24] うん。
[57:55:60] はい。
[57:56:21] はい。
[57:57:95] ありがとうございます。
[57:59:75] ありがとうございます。
[58:00:83] じゃあね。
[58:01:21] またよろしくお願いします。
[58:06:50] うん。
[58:07:05]
