[01:21] こんにちは。
[69:28] 五藤さんのおかげでね、ちょっとあの、えっと、規約とか少し考えさせていただけました。ありがとうございます。
[69:34] ああ、ありがとうございます。
[69:35] あの、すごくあの、改めて見ると、すごいノーガードすぎて怖くなりました自分。
[69:44] おかげでね。
[69:45] はいはい。
[69:46] 前の状態だと全部のやつをね、あの、悪意を持って改造して、その状態で悪意を持って皆さんに届けるとかが、あの、誰でも可能な状態でしたので。
[69:58] うんうんうん。
[69:59] さすがに。
[70:00] さすがにね。
[70:01] さすがにね。
[70:01] うん。
[70:02] そうね。
[70:02] あの、今、今、今、いい人しかいないのでよかったけど。
[70:06] うんうんうん。
[70:07] っていうところはあります。
[70:09] ありがとうございます。
[70:10] これ、あの、コミュニティとか阿修羅を守るためにも。
[70:12] うんうんうん。
[70:13] なので、良くしていこうというつもりで、常日頃いろいろとやっておりますので、よろしく。
[70:18] なんか。
[70:18] なのに良くない、良くなってないぞってなったらまたそれも教えてください。
[70:23] はい。
[70:24] はい。
[70:25] まあね、本当に色々今日ね、進化のやつぜひまた秘奥義のアクセスしていただいて、たまて箱が使いやすくなってますんで、ぜひたまて箱も触ってみていただければと。
[70:35] そうですね。
[70:35] 開けても閉じ。
[70:36] 閉じて。
[70:37] ありがとうございます。
[70:38] はい。
[70:39] はい。
[70:40] それでは良い1日を過ごし。
[70:42] あ、明日はちなみに朝7時からですね。
[70:44] え、ともみとたっちの会になるかと思いますんで、明日もぜひご覧いただければと。
[70:50] はい。
[70:50] じゃあ今日もたくさんのご視聴とコメントありがとうございました。
[70:53] ありがとうございました。
[70:54] 今日もよろしくお願いします。
[70:55] とに。
[70:56] しゅんさん。
[70:57] はい。
[70:58] 楽しんでください。
[71:03] はい。
[71:04] うん。
[71:05] うん。
