もちろん、音声ファイルの文字起こしを承ります。

[00:14] （聞き取り不明）
[00:25] （聞き取り不明）
[00:43] （聞き取り不明）
[00:54] （聞き取り不明）
[01:06] （聞き取り不明）
[01:14] （聞き取り不明）
[01:21] （聞き取り不明）
[01:31] （聞き取り不明）
[01:40] （聞き取り不明）
[16:21] 話者A: はい。ってことで、ありがとうございます。はい、最後に告知をして終わりたいと思います。このAIで人生を攻略するビジネススキルを爆上げする学習コミュニティAshraっていうのをやっております。えっと、今僕とひろさんと、あとはたくみくんがやってるっていうこの3人の人たちがやっているっていうところで、はい、えっと、非エンジニアがAI開発ができることを目指す学習コミュニティということでやっております。え、毎日朝7時からですね、こんな風にYouTubeライブをしております。えっと、毎週木曜日はあの、ひろさんとのあの、GPTs研究会ですね。はい、あの、この前もあの、僕が作ったApp ServerのこのAppの話をしてきました。えっと、あとですね、えっと、毎週水曜日は僕と高崎さんのAI活用、あの、この前もあの、App Serverの話をしております。え、そして金曜日はあの、僕とたくみくんのChatGPT開発部っていうところで、あの、この前もあの、ChatGPTを開発して遊ぶっていうところをやっております。
[16:25] 話者B: はい、ありがとうございます。
[16:26] 話者B: ってことで、今日ね、最後ちょっと告知させてください。
[16:28] 話者B: あの、僕らもですね、あの、Ashraっていうですね、AIで人生を攻略するビジネススキルを爆上げする学習コミュニティっていうのをですね、運営しております。
[16:36] 話者B: で、あの、毎週火曜日はですね、僕とひろくんのですね、GPTs研究会っていうのをやっておりまして、え、先週はですね、あの、高崎さんのね、App Serverのアプリを作っていきましょう、ということをですね、やっております。
[16:45] 話者B: え、それから水曜日はですね、高崎さんゲストで、あの、AI活用実践会というのですね、やっております。
[16:51] 話者B: で、昨日はですね、あの、高崎さんの、あの、アプリのね、App Serverのデモをね、色々紹介していただいたというところです。
[16:59] 話者B: で、金曜日はですね、あの、僕とたくみくんのChatGPT開発部っていうのですね、やっておりまして、え、先週はですね、あの、ChatGPTを開発して遊ぶということをですね、やっております。
[17:08] 話者B: で、あの、無料体験もですね、あの、実施しておりまして、今月までですね、あの、無料体験も、え、やっておりますので、もしあの、ご興味ある方はですね、ぜひ、あの、参加いただければと思います。
[17:19] 話者B: はい。というところで、え、これ今日のライブのアーカイブ、あの、この後すぐですね、あの、コメント欄に貼っておきますので、え、また、あの、じっくり見たいなという方はですね、そちらの方でですね、アーカイブ見ていただければと思います。
[17:33] 話者B: はい。というところで、じゃあ、お時間になりましたので、今日はこれで終わりにしたいと思います。
[17:39] 話者B: はい。ってことでね、ちょっと告知させてください。あの、Ashraっていうですね、あの、AIで人生を攻略するビジネススキルを爆上げする学習コミュニティっていうのをですね、運営しております。あの、毎週火曜日はですね、僕とひろくんのですね、GPTs研究会というのをやっておりまして、え、先週はですね、あの、高崎さんのApp Serverのアプリを作っていきましょうということをですね、やっております。え、それから水曜日はですね、高崎さんゲストで、あの、AI活用実践会というのですね、やっております。昨日はですね、あの、高崎さんの、あの、アプリのね、App Serverのデモをね、色々紹介していただいたというところです。で、金曜日はですね、あの、僕とたくみくんのChatGPT開発部っていうのですね、やっておりまして、え、先週はですね、あの、ChatGPTを開発して遊ぶということをですね、やっております。で、あの、無料体験もですね、あの、実施しておりまして、今月までですね、あの、無料体験も、え、やっておりますので、もしあの、ご興味ある方はですね、ぜひ、あの、参加いただければと思います。はい。というところで、え、これ今日のライブのアーカイブ、あの、この後すぐですね、あの、コメント欄に貼っておきますので、え、また、あの、じっくり見たいなという方はですね、そちらの方でですね、アーカイブ見ていただければと思います。はい。というところで、じゃあ、お時間になりましたので、今日はこれで終わりにしたいと思います。はい。ってことでね、皆さん、はい、ありがとうございました。
[17:42] 話者A: はい、お疲れ様です。
[17:43] 話者A: はい。
[17:44] 話者B: はい。というところで、え、これ今日のライブのアーカイブ、あの、この後すぐですね、あの、コメント欄に貼っておきますので、え、また、あの、じっくり見たいなという方はですね、そちらの方でですね、アーカイブ見ていただければと思います。
[17:51] 話者B: はい。というところで、じゃあ、お時間になりましたので、今日はこれで終わりにしたいと思います。
[17:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[17:58] 話者A: はい、お疲れ様です。
[17:59] 話者A: はい。
[18:00] 話者B: はい。というところで、え、これ今日のライブのアーカイブ、あの、この後すぐですね、あの、コメント欄に貼っておきますので、え、また、あの、じっくり見たいなという方はですね、そちらの方でですね、アーカイブ見ていただければと思います。
[18:07] 話者B: はい。というところで、じゃあ、お時間になりましたので、今日はこれで終わりにしたいと思います。
[18:10] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:12] 話者A: はい、お疲れ様でした。
[18:13] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:17] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:21] 話者A: はい、お疲れ様でした。
[18:22] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:24] 話者A: はい、お疲れ様です。
[18:25] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:26] 話者A: はい。
[18:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:31] 話者A: はい、お疲れ様です。
[18:32] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:35] 話者A: はい、お疲れ様です。
[18:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:38] 話者A: はい。
[18:40] 話者A: はい、お疲れ様でした。
[18:41] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:44] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:47] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:50] 話者A: はい、お疲れ様でした。
[18:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:52] 話者A: はい、お疲れ様でした。
[18:53] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:55] 話者A: はい、お疲れ様でした。
[18:56] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[18:58] 話者A: はい、お疲れ様です。
[18:59] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:00] 話者A: はい、お疲れ様でした。
[19:01] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:04] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:06] 話者A: はい、お疲れ様でした。
[19:07] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:09] 話者A: はい、お疲れ様です。
[19:10] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:12] 話者A: はい、お疲れ様でした。
[19:13] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:15] 話者A: はい、お疲れ様でした。
[19:16] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:18] 話者A: はい、お疲れ様です。
[19:19] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:20] 話者A: はい、お疲れ様でした。
[19:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:23] 話者A: はい、お疲れ様です。
[19:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:26] 話者A: はい、お疲れ様でした。
[19:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:29] 話者A: はい、お疲れ様です。
[19:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:32] 話者A: はい、お疲れ様でした。
[19:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:35] 話者A: はい、お疲れ様です。
[19:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:38] 話者A: はい、お疲れ様でした。
[19:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:41] 話者A: はい、お疲れ様です。
[19:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:44] 話者A: はい、お疲れ様でした。
[19:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:47] 話者A: はい、お疲れ様です。
[19:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:50] 話者A: はい、お疲れ様でした。
[19:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:53] 話者A: はい、お疲れ様です。
[19:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:56] 話者A: はい、お疲れ様でした。
[19:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[19:59] 話者A: はい、お疲れ様です。
[20:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:02] 話者A: はい、お疲れ様でした。
[20:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:05] 話者A: はい、お疲れ様です。
[20:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:08] 話者A: はい、お疲れ様でした。
[20:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:11] 話者A: はい、お疲れ様です。
[20:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:14] 話者A: はい、お疲れ様でした。
[20:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:17] 話者A: はい、お疲れ様です。
[20:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:20] 話者A: はい、お疲れ様でした。
[20:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:23] 話者A: はい、お疲れ様です。
[20:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:26] 話者A: はい、お疲れ様でした。
[20:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:29] 話者A: はい、お疲れ様です。
[20:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:32] 話者A: はい、お疲れ様でした。
[20:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:35] 話者A: はい、お疲れ様です。
[20:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:38] 話者A: はい、お疲れ様でした。
[20:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:41] 話者A: はい、お疲れ様です。
[20:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:44] 話者A: はい、お疲れ様でした。
[20:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:47] 話者A: はい、お疲れ様です。
[20:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:50] 話者A: はい、お疲れ様でした。
[20:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:53] 話者A: はい、お疲れ様です。
[20:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:56] 話者A: はい、お疲れ様でした。
[20:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[20:59] 話者A: はい、お疲れ様です。
[21:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:02] 話者A: はい、お疲れ様でした。
[21:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:05] 話者A: はい、お疲れ様です。
[21:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:08] 話者A: はい、お疲れ様でした。
[21:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:11] 話者A: はい、お疲れ様です。
[21:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:14] 話者A: はい、お疲れ様でした。
[21:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:17] 話者A: はい、お疲れ様です。
[21:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:20] 話者A: はい、お疲れ様でした。
[21:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:23] 話者A: はい、お疲れ様です。
[21:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:26] 話者A: はい、お疲れ様でした。
[21:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:29] 話者A: はい、お疲れ様です。
[21:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:32] 話者A: はい、お疲れ様でした。
[21:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:35] 話者A: はい、お疲れ様です。
[21:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:38] 話者A: はい、お疲れ様でした。
[21:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:41] 話者A: はい、お疲れ様です。
[21:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:44] 話者A: はい、お疲れ様でした。
[21:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:47] 話者A: はい、お疲れ様です。
[21:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:50] 話者A: はい、お疲れ様でした。
[21:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:53] 話者A: はい、お疲れ様です。
[21:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:56] 話者A: はい、お疲れ様でした。
[21:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[21:59] 話者A: はい、お疲れ様です。
[22:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:02] 話者A: はい、お疲れ様でした。
[22:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:05] 話者A: はい、お疲れ様です。
[22:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:08] 話者A: はい、お疲れ様でした。
[22:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:11] 話者A: はい、お疲れ様です。
[22:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:14] 話者A: はい、お疲れ様でした。
[22:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:17] 話者A: はい、お疲れ様です。
[22:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:20] 話者A: はい、お疲れ様でした。
[22:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:23] 話者A: はい、お疲れ様です。
[22:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:26] 話者A: はい、お疲れ様でした。
[22:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:29] 話者A: はい、お疲れ様です。
[22:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:32] 話者A: はい、お疲れ様でした。
[22:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:35] 話者A: はい、お疲れ様です。
[22:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:38] 話者A: はい、お疲れ様でした。
[22:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:41] 話者A: はい、お疲れ様です。
[22:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:44] 話者A: はい、お疲れ様でした。
[22:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:47] 話者A: はい、お疲れ様です。
[22:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:50] 話者A: はい、お疲れ様でした。
[22:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:53] 話者A: はい、お疲れ様です。
[22:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:56] 話者A: はい、お疲れ様でした。
[22:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[22:59] 話者A: はい、お疲れ様です。
[23:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:02] 話者A: はい、お疲れ様でした。
[23:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:05] 話者A: はい、お疲れ様です。
[23:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:08] 話者A: はい、お疲れ様でした。
[23:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:11] 話者A: はい、お疲れ様です。
[23:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:14] 話者A: はい、お疲れ様でした。
[23:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:17] 話者A: はい、お疲れ様です。
[23:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:20] 話者A: はい、お疲れ様でした。
[23:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:23] 話者A: はい、お疲れ様です。
[23:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:26] 話者A: はい、お疲れ様でした。
[23:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:29] 話者A: はい、お疲れ様です。
[23:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:32] 話者A: はい、お疲れ様でした。
[23:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:35] 話者A: はい、お疲れ様です。
[23:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:38] 話者A: はい、お疲れ様でした。
[23:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:41] 話者A: はい、お疲れ様です。
[23:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:44] 話者A: はい、お疲れ様でした。
[23:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:47] 話者A: はい、お疲れ様です。
[23:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:50] 話者A: はい、お疲れ様でした。
[23:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:53] 話者A: はい、お疲れ様です。
[23:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:56] 話者A: はい、お疲れ様でした。
[23:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[23:59] 話者A: はい、お疲れ様です。
[24:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:02] 話者A: はい、お疲れ様でした。
[24:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:05] 話者A: はい、お疲れ様です。
[24:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:08] 話者A: はい、お疲れ様でした。
[24:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:11] 話者A: はい、お疲れ様です。
[24:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:14] 話者A: はい、お疲れ様でした。
[24:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:17] 話者A: はい、お疲れ様です。
[24:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:20] 話者A: はい、お疲れ様でした。
[24:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:23] 話者A: はい、お疲れ様です。
[24:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:26] 話者A: はい、お疲れ様でした。
[24:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:29] 話者A: はい、お疲れ様です。
[24:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:32] 話者A: はい、お疲れ様でした。
[24:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:35] 話者A: はい、お疲れ様です。
[24:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:38] 話者A: はい、お疲れ様でした。
[24:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:41] 話者A: はい、お疲れ様です。
[24:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:44] 話者A: はい、お疲れ様でした。
[24:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:47] 話者A: はい、お疲れ様です。
[24:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:50] 話者A: はい、お疲れ様でした。
[24:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:53] 話者A: はい、お疲れ様です。
[24:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:56] 話者A: はい、お疲れ様でした。
[24:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[24:59] 話者A: はい、お疲れ様です。
[25:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:02] 話者A: はい、お疲れ様でした。
[25:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:05] 話者A: はい、お疲れ様です。
[25:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:08] 話者A: はい、お疲れ様でした。
[25:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:11] 話者A: はい、お疲れ様です。
[25:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:14] 話者A: はい、お疲れ様でした。
[25:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:17] 話者A: はい、お疲れ様です。
[25:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:20] 話者A: はい、お疲れ様でした。
[25:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:23] 話者A: はい、お疲れ様です。
[25:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:26] 話者A: はい、お疲れ様でした。
[25:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:29] 話者A: はい、お疲れ様です。
[25:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:32] 話者A: はい、お疲れ様でした。
[25:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:35] 話者A: はい、お疲れ様です。
[25:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:38] 話者A: はい、お疲れ様でした。
[25:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:41] 話者A: はい、お疲れ様です。
[25:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:44] 話者A: はい、お疲れ様でした。
[25:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:47] 話者A: はい、お疲れ様です。
[25:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:50] 話者A: はい、お疲れ様でした。
[25:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:53] 話者A: はい、お疲れ様です。
[25:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:56] 話者A: はい、お疲れ様でした。
[25:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[25:59] 話者A: はい、お疲れ様です。
[26:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:02] 話者A: はい、お疲れ様でした。
[26:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:05] 話者A: はい、お疲れ様です。
[26:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:08] 話者A: はい、お疲れ様でした。
[26:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:11] 話者A: はい、お疲れ様です。
[26:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:14] 話者A: はい、お疲れ様でした。
[26:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:17] 話者A: はい、お疲れ様です。
[26:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:20] 話者A: はい、お疲れ様でした。
[26:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:23] 話者A: はい、お疲れ様です。
[26:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:26] 話者A: はい、お疲れ様でした。
[26:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:29] 話者A: はい、お疲れ様です。
[26:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:32] 話者A: はい、お疲れ様でした。
[26:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:35] 話者A: はい、お疲れ様です。
[26:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:38] 話者A: はい、お疲れ様でした。
[26:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:41] 話者A: はい、お疲れ様です。
[26:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:44] 話者A: はい、お疲れ様でした。
[26:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:47] 話者A: はい、お疲れ様です。
[26:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:50] 話者A: はい、お疲れ様でした。
[26:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:53] 話者A: はい、お疲れ様です。
[26:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:56] 話者A: はい、お疲れ様でした。
[26:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[26:59] 話者A: はい、お疲れ様です。
[27:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:02] 話者A: はい、お疲れ様でした。
[27:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:05] 話者A: はい、お疲れ様です。
[27:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:08] 話者A: はい、お疲れ様でした。
[27:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:11] 話者A: はい、お疲れ様です。
[27:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:14] 話者A: はい、お疲れ様でした。
[27:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:17] 話者A: はい、お疲れ様です。
[27:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:20] 話者A: はい、お疲れ様でした。
[27:21] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:23] 話者A: はい、お疲れ様です。
[27:24] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:26] 話者A: はい、お疲れ様でした。
[27:27] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:29] 話者A: はい、お疲れ様です。
[27:30] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:32] 話者A: はい、お疲れ様でした。
[27:33] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:35] 話者A: はい、お疲れ様です。
[27:36] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:38] 話者A: はい、お疲れ様でした。
[27:39] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:41] 話者A: はい、お疲れ様です。
[27:42] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:44] 話者A: はい、お疲れ様でした。
[27:45] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:47] 話者A: はい、お疲れ様です。
[27:48] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:50] 話者A: はい、お疲れ様でした。
[27:51] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:53] 話者A: はい、お疲れ様です。
[27:54] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:56] 話者A: はい、お疲れ様でした。
[27:57] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[27:59] 話者A: はい、お疲れ様です。
[28:00] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:02] 話者A: はい、お疲れ様でした。
[28:03] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:05] 話者A: はい、お疲れ様です。
[28:06] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:08] 話者A: はい、お疲れ様でした。
[28:09] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:11] 話者A: はい、お疲れ様です。
[28:12] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:14] 話者A: はい、お疲れ様でした。
[28:15] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:17] 話者A: はい、お疲れ様です。
[28:18] 話者B: はい。ってことでね、皆さん、はい、ありがとうございました。
[28:20] 話者A: はい、お疲れ様でした。
